;Name;Revenue;Lost profit;Sales;Balance;Turnover days;Frozen stocks percent;Base price;Basic Sale;Basic Sale Price;Price with WB wallet;SPP;Median price;Comments Valuation;Comments;Days in website;Search cpm avg
44;Аминокислоты комплекс капсулы, в банке;869846;913581,27;1405;360;46;1,94;1199;46;638;618;0;673;4,8;439;888;0
45;БАДы комплекс витаминов для кожи и ногтей;831071;14419081,85;473;0;0;0;4299;28;3095;3002;0;1810;4,9;194;259;0
46;Витамины комплекс в капсулах Кальций Магний Цинк D3 K2, БАД;828171;683962,12;1339;449;67;33,18;1574;49;792;768;0;677;4,9;1349;466;0
47;Набор косметики для ухода увлажняющий;817137;7074686,13;375;0;0;0;6000;60;2343;2272;0;2409;4,8;649;87;0
48;БАДы комплекс успокоительных витаминов против стресса;789260;1565686,5;417;365;108;58,08;4299;56;1851;1795;0;1903;4,9;194;260;0
49;Магний в6 детский жидкий от стресса и нервов, раствор 100 мл;778652;1583044,56;1359;0;0;0;1599;64;571;553;0;571;4,9;222;145;0
50;Цинка пиколинат витаминный комплекс, капсулы;760910;254558,98;1152;203;48;6,9;1199;40;717;695;0;700;4,9;1349;500;0
51;Витаминный комплекс для здоровья при климаксе;747161;268424,51;1306;107;22;0;1499;59;601;582;0;554;4,8;458;889;524
52;Литий аскорбат от тревоги и стресса капсулы 90 шт;738284;219137,3;1248;170;39;0;1499;56;645;625;0;603;4,9;185;282;1114
53;Теанин капсулы БАД для мозга, памяти, энергии успокоительное;730377;145598,03;1293;118;28;0;1199;50;595;577;0;625;4,8;171;552;0
54;Сыворотка бустер с гиалуроновой кислотой Halsa Cosmetics;724282;2867765,22;446;89;15;0;3199;48;1658;1608;0;1612;4,9;1622;73;0
55;Витамины для мужчин комплекс для здоровья иммунитета 90 шт;715813;2527438,49;874;623;58;21,99;1999;59;817;792;0;817;4,9;4009;80;0
56;Омега 3 6 9 капсулы, витаминный комплекс;654082;516884,31;811;196;50;9,18;1899;56;831;806;0;799;4,9;1957;888;0
57;Коллаген порошок питьевой для суставов с витамином C;644148;63643,37;841;0;0;0;1599;47;844;818;0;805;4,9;752;482;0
58;Маска для лица увлажняющая, набор 8 штук;577287;2038322;374;42;9;0;3000;47;1576;1528;0;1533;4,9;55;84;0
59;Витамин C в капсулах для иммунитета;559834;181895,52;953;440;128;64,77;1480;54;680;659;0;617;4,8;399;888;0
60;Бустер тестостерона для мужчин капсулы, спортивное питание;548144;263020,71;804;139;43;0;1480;63;544;527;0;714;4,9;144;466;0
61;Набор для лица сыворотка увлажняющая и сыворотка-бустер;546868;2494049,52;242;78;21;0;3999;39;2422;2349;0;2219;4,9;1622;65;0
62;Скраб для лица полирующий с отшелушивающим действием;506733;2006388,77;306;215;52;13,49;3199;51;1541;1494;0;1704;5;38;73;0
63;Витамины комплекс для здоровья и красоты 30 шт;497817;1757724,22;858;311;29;0;1999;71;569;551;0;598;4,9;4009;80;0
64;Витамин д3 и к2 в капсулах комплекс БАД;454715;657821,03;750;0;0;0;1499;27;1094;1061;0;598;4,9;1500;282;0
65;Скраб для тела антицеллюлитный отшелушивающий с маслами;449461;754569,56;307;382;170;73,56;3500;63;1277;1238;0;1481;4,9;76;136;0
